ID,red,yellow,blue,black,white,r,g,b
7832,2.03,1.17,0,0,0,150,10,20
7833,0.4,1.1,0,0,0,255,77,79
7834,0.4,2.65,0,0,0,252,137,78
7835,0.4,4.26,0,0,0,238,97,0
7836,0.4,9.19,0,0,0,215,168,114
7837,0,1,0,0,0,255,244,0
7838,0,2,0,0,0,255,227,0
7839,0,3,0,0,0,255,228,0
7840,0,10,0,0,0,255,228,0
7841,1.27,0.44,0,0,0,165,0,0
7842,2.68,0.44,0,0,0,160,0,0
7843,2.61,0.44,1.5000000000000004,0,0,82,58,65
7844,0,0,1,0,0,0,19,97
7845,0,0,10,0,0,0,10,84
7846,0,0,20,0,0,0,16,91
7847,0,0,50,0,0,0,21,101
7848,0,0,100,0,0,0,16,91
7849,0,1.17,0.33,0,0,53,111,39
7850,0,2.32,0.33,0,0,0,108,93
7851,0.58,0,0.15000000000000002,0,0,123,43,43
7852,0.58,0,0.15000000000000002,0,0.24,127,70,132
7853,0.58,0,0.15000000000000002,0,1.75,209,166,210
7854,0.58,0,0.15000000000000002,0,5.029999999999999,189,176,233
7855,0,0,0,0.11,0.68,142,141,134
7856,0,0,0,0.11,0.65,209,204,203
7857,0,0,0,0,1,255,255,255
7858,0,0,0,0,10,255,255,255
7859,0,0,0,0,89,255,255,255
7860,0,0,0,0.54,0.3,127,119,117
7862,0,0,0,1,0,9,10,2
7863,0,0,0,50,0,10,12,3
7864,0,0,0,100,0,9,10,2
7865,0.33999999999999997,0.42000000000000004,0.12,0,0,162,85,78
7866,0.73,0.42000000000000004,0.12,0,0,146,107,52
7867,0.71,0.42000000000000004,0.12,0,0.8199999999999998,204,158,111
7868,0.71,0.42000000000000004,0.12,0,0.8199999999999998,164,155,143
7869,0.71,0.42000000000000004,0.12,0,0.8199999999999998,174,145,119
7870,0.52,0.48,0.27,0,0,133,114,98
7871,0.52,0.48,0.27,0,0,113,89,66
7872,0.51,0.48,0.28,0,0,130,90,63
7873,0,0,0.31999999999999995,0,0.28,0,112,200
7874,0,0,0.31999999999999995,0,1.5,128,174,241
7875,0,0,0.31999999999999995,0,1.5,132,175,229
7876,0,0,0.31999999999999995,0,1.5,130,172,218
